Departamento,CodDepto,NumPersonas
AMAZONAS,91,1997
ANTIOQUIA,05,106390
ARAUCA,81,6053
ATLANTICO,08,38913
BOGOTA D.C.,11,136873
BOLIVAR,13,42876
BOYACA,15,30950
CALDAS,17,20739
CAQUETA,18,10434
CASANARE,85,10160
CAUCA,19,27981
CESAR,20,24926
CHOCO,27,12071
CORDOBA,23,41608
CUNDINAMARCA,25,33136
GUAINIA,94,919
GUAVIARE,95,1974
HUILA,41,25462
LA GUAJIRA,44,17121
MAGDALENA,47,30538
META,50,19081
NARINO,52,33933
NORTE DE SANTANDER,54,28430
PUTUMAYO,86,9308
QUINDIO,63,10601
RISARALDA,66,16951
SAN ANDRES,88,942
SANTANDER,68,68932
SUCRE,70,22697
TOLIMA,73,26531
VALLE,76,60589
VAUPES,97,1111
VICHADA,99,1390
